faceit_nickname,faceit_player_id,country,status,role,season8_matches,current_faceit_level,current_faceit_elo,faceit_tracker_highest_elo,known_peak_elo,lifetime_faceit_matches,AIM,IMP,UTL,CON,INT,EXP,OVERALL,BASE_OVERALL,CONTEXT_MULT,RATING_NORM,OPP_ELO_AVG,ADR_norm,HS_norm,KR_norm,RoundSwing_avg,UtilSuccess_norm,UtilDamageRound_norm,FlashSuccess_norm,EnemiesFlashedRound_norm,CON_raw,INT_score_1v1,INT_score_1v2
Humildera,d7879b1e-6a76-4484-8265-2866c36679a4,pt,ACTIVE,LURKER,33,10,2069,2155,2155,2383,92,99,61,66,99,79,87,84.96,1.0,99.0,1928,89.22,93.02,97.54,0.015982,55.42,50.0,66.19,72.85,66.0,0.4074,0.4
-Eragonz-,344645a5-6be3-45f7-8d88-a1f0e7dc5a98,br,ACTIVE,ENTRY,129,10,2036,2256,2256,2625,87,96,94,67,68,85,86,83.39,1.0115,96.17,1984,99.0,66.06,96.54,0.010744,99.0,96.62,92.55,83.71,67.0,0.4237,0.2157
bomdecama,271b422b-d10d-4f08-8228-97d89d6a9693,fr,ACTIVE,ENTRY,90,10,2335,2594,2594,3567,85,95,52,77,68,97,85,81.59,1.0197,93.71,2025,95.96,62.83,99.0,0.00843,50.0,53.04,53.45,53.85,77.0,0.4918,0.1912
FenoNemo,2f4758c9-f2b8-4cae-b5b1-3684a4e62e8d,br,ACTIVE,AWPER,101,10,2281,2506,2506,2027,87,88,73,61,68,95,81,79.13,1.0148,87.75,2000,98.37,65.23,98.35,0.002732,84.89,76.67,68.49,57.87,61.0,0.3333,0.2462
DigdiM--,5e05d14f-9f46-4c31-831b-9e60ccdb63a5,br,ACTIVE,AWPER,89,9,1841,2361,2361,1474,82,98,57,69,53,90,80,77.9,0.9829,96.97,1847,88.72,64.11,95.34,0.013014,65.87,53.46,52.63,56.1,69.0,0.3846,0.1379
Lag_404,c70b8e94-59b2-4533-abaa-41ad0c1b60f9,by,ACTIVE,LURKER,73,10,2280,2490,2490,4051,88,85,69,74,50,95,80,78.53,1.0122,84.1,1988,81.11,97.91,85.24,0.000601,59.41,76.4,62.98,82.04,74.0,0.3143,0.1224
leoobr,708beddb-899c-4553-9464-80f6734b9023,br,ACTIVE,LURKER,58,10,2307,2423,2423,1655,77,92,81,56,62,92,80,76.43,1.0231,91.26,2041,82.94,69.21,76.12,0.0061,89.44,82.29,70.16,81.28,56.0,0.4643,0.1731
SPAN1SH,549e5417-cf4a-45f3-be20-6db6440f98d1,br,ACTIVE,RIFLER,26,10,2155,2178,2178,1606,81,95,58,69,51,80,80,75.92,1.0147,94.73,2000,93.55,57.67,93.89,0.008571,59.18,73.96,50.78,50.3,69.0,0.2778,0.15
fbr,0be3b3ec-babb-4743-8e90-0c58a4f13cf8,ir,ACTIVE,IGL,153,10,2140,2664,2664,1937,72,92,66,54,52,98,79,72.63,1.0558,91.47,2209,63.91,80.09,72.88,0.00542,74.93,74.23,54.06,58.39,54.0,0.325,0.155
Lpz1NNNN,c03727e7-04c7-4ba2-b234-31c70d44633a,br,ACTIVE,ENTRY,61,10,2097,2607,2607,2583,79,86,68,68,50,97,79,75.8,1.0208,85.38,2030,92.28,59.95,85.24,0.001447,56.27,65.01,72.7,81.26,68.0,0.35,0.1111
raphash0w,7e1681ad-280a-4ade-90c5-a01c811e456c,br,ACTIVE,AWPER,56,9,1993,2719,2719,3981,74,88,70,65,55,99,79,75.37,1.0305,87.57,2079,77.43,60.55,87.84,0.002785,57.53,53.41,99.0,64.09,65.0,0.4286,0.1481
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,br,ACTIVE,RIFLER,116,10,2313,2402,2402,4937,70,91,71,66,57,92,78,75.04,1.0098,91.17,1976,76.33,58.59,76.12,0.005005,68.16,71.39,73.34,72.77,66.0,0.3864,0.1765
Tatuox,f0b25e08-7b62-4a78-8eb6-f7988459ae3c,br,ACTIVE,ENTRY,96,9,1751,2175,2175,1071,83,91,94,64,57,80,78,78.7,0.9664,87.46,1770,86.88,74.66,87.84,0.004783,98.87,82.9,97.13,94.7,64.0,0.3636,0.1818
SALAZARR-,70f82a2d-d863-4763-b18a-faa1cee4f713,ie,ACTIVE,ENTRY,106,10,2012,2315,2315,1338,89,80,73,50,76,88,76,75.83,0.9985,79.08,1921,80.6,99.0,90.15,-0.002063,75.78,59.36,75.46,82.01,50.0,0.3594,0.268
Kazu--,526adf38-3796-490a-bcb4-4ee333d189cc,es,ACTIVE,IGL,65,9,1923,2513,2513,5896,87,83,75,50,59,95,75,74.71,1.0067,76.83,1961,93.75,73.66,93.89,-0.00055,85.9,95.15,53.07,65.02,50.0,0.3095,0.2115
dudaaaaaaaaa,cfd4e8ab-8b55-4e70-99d3-29aee35e9324,gd,ACTIVE,ENTRY,105,8,1732,2155,2155,1740,95,74,64,51,73,79,73,73.61,0.9889,73.94,1875,94.76,92.33,97.54,-0.005161,82.16,59.54,57.39,50.0,51.0,0.439,0.2292
D4rl1ng,b280f755-1faf-4906-b184-3f8638211d03,br,ACTIVE,RIFLER,85,8,1728,2266,2266,5130,75,82,75,51,71,85,71,72.4,0.9571,79.6,1728,65.94,86.65,72.88,-0.000885,60.86,68.36,83.78,90.15,51.0,0.4038,0.2353
Jefao171,bf3b4d03-9d93-45ae-906f-4ea39ff3c16f,br,ACTIVE,RIFLER,119,8,1554,1831,1831,2389,70,75,93,60,66,60,70,70.01,0.9951,74.72,1905,70.87,68.4,72.88,-0.004564,97.91,99.0,92.02,78.89,60.0,0.3506,0.2292
pelogan,2ea9b956-14da-480d-bbfd-8ade5c3a1e3a,ie,ACTIVE,LURKER,27,8,1645,1857,1857,1851,68,81,76,76,62,61,70,72.08,0.9408,79.93,1655,71.83,56.19,79.32,-0.001412,96.14,69.53,70.98,59.31,76.0,0.4667,0.1739
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,lt,ACTIVE,SUP,126,9,1997,2180,2180,4941,65,69,94,61,54,80,68,68.17,1.0024,67.92,1940,69.04,60.61,63.76,-0.007883,94.52,93.99,89.29,99.0,61.0,0.3382,0.1696
bnilgame,e039371d-f876-464b-a7e7-9d5134f6e21c,br,ACTIVE,RIFLER,30,6,1235,1556,1556,321,80,95,66,74,51,51,68,74.47,0.846,93.72,1269,85.23,63.93,93.89,0.008328,60.13,67.47,68.77,67.77,74.0,0.2258,0.1724
-wickd-,498970e7-b8f1-45b4-92b1-2fffbc932d9a,nl,ACTIVE,AWPER,87,9,1982,1969,1969,413,66,69,66,72,76,67,67,69.25,0.9714,68.53,1793,70.9,57.65,69.68,-0.007745,72.49,58.45,68.16,62.94,72.0,0.383,0.2609
PretinQpisa,51c64cc1-5165-4469-8aaa-6dfc0a4d2eb7,it,ACTIVE,ENTRY,109,10,2025,2300,2300,2459,73,64,57,53,58,87,66,64.79,1.0144,64.58,1999,61.15,89.94,69.68,-0.010582,60.26,62.17,50.0,55.06,53.0,0.3438,0.1918
facedaking,c1d4a1a6-7615-455c-99a1-5d57f0465d25,pt,ACTIVE,AWPER,123,9,1978,2127,2127,3190,62,64,64,65,64,77,65,65.01,1.0003,63.27,1930,60.3,59.95,66.61,-0.010461,70.68,71.79,59.6,53.39,65.0,0.375,0.2159
J_a_c_k__,bb46c407-6741-46eb-8c6b-e72b63bee5b6,pt,ACTIVE,AWPER,218,9,1964,1989,1989,2338,64,59,86,65,52,68,64,64.17,1.0057,57.72,1956,63.18,66.06,63.76,-0.013908,93.63,91.97,89.43,62.62,65.0,0.3366,0.1417
sykesssssss,bcb98795-f93f-4d8e-b38b-6e1640ffe8f9,br,ACTIVE,RIFLER,96,8,1738,2041,2041,1364,81,60,59,59,61,71,64,66.03,0.974,59.98,1805,79.6,82.57,82.39,-0.013322,69.97,54.38,53.47,55.81,59.0,0.4286,0.1833
BadDoug,4395a28c-0038-4f2e-bc1b-8f23be569312,br,ACTIVE,AWPER,22,7,1469,1732,1732,1575,67,77,61,73,62,56,64,68.26,0.9158,75.21,1548,65.49,65.83,72.88,-0.003763,56.13,54.88,56.75,81.66,73.0,0.24,0.25
Mike7th,4fa7ebe1-6ede-4a90-b975-b8ebc8a781f0,br,ACTIVE,RIFLER,39,7,1465,1620,1620,320,65,75,86,70,72,53,63,70.01,0.8721,74.94,1370,80.25,50.0,61.16,-0.004761,89.14,98.37,66.73,92.41,70.0,0.4074,0.2353
Wagnerzera,691111ea-e36a-450b-928a-daafb3ff6ec1,ru,ACTIVE,RIFLER,125,6,1224,1664,1664,3508,58,57,78,50,88,54,58,61.44,0.95,57.29,1696,58.59,56.29,61.16,-0.015356,95.08,83.03,68.49,57.88,50.0,0.4348,0.2941
-deco-,f53bb9a4-e09e-4985-b72e-88c567d932f8,br,ACTIVE,RIFLER,116,7,1366,1865,1865,1655,54,53,75,63,56,61,55,58.72,0.936,53.12,1634,52.01,59.19,50.0,-0.019437,75.57,73.41,70.16,82.15,63.0,0.3611,0.1765
