faceit_nickname_input,faceit_nickname_official,faceit_player_id,country,steam_id_64,steam_nickname,cs2_skill_level,cs2_faceit_elo,cs2_game_player_id,cs2_game_player_name,avatar,faceit_url,activated_at,highest_lifetime_faceit_level,lifetime_faceit_matches,highest_lifetime_faceit_elo,faceit_tracker_highest_elo,peak_elo_source,peak_elo_updated_at,peak_elo_url_nickname
JohnnyPanda,JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,br,76561197977881703,panda,10,2313,76561197977881703,panda,https://distribution.faceit-cdn.net/images/5f227b46-08d5-4b10-9069-6de208445768.jpg,https://www.faceit.com/{lang}/players/JohnnyPanda,2015-12-22T01:36:35.927Z,9,4937,2201,2402,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,JohnnyPanda
mHc,mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,lt,76561198042644945,mHc,9,1997,76561198042644945,mHc,https://distribution.faceit-cdn.net/images/3de1ed7a-2a9f-4550-ba1b-81d0f61169d1.jpg,https://www.faceit.com/{lang}/players/mHc,2019-09-14T17:22:29.964Z,9,4941,1976,2180,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,mHc
pelogan,pelogan,2ea9b956-14da-480d-bbfd-8ade5c3a1e3a,ie,76561198079227697,pelogan,8,1645,76561198079227697,pelogan,https://distribution.faceit-cdn.net/images/3cb18118-69f2-434d-9cf4-2e2db9592026.jpeg,https://www.faceit.com/{lang}/players/pelogan,2019-09-17T19:06:51.909Z,7,1851,1645,1857,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,pelogan
facedaking,facedaking,c1d4a1a6-7615-455c-99a1-5d57f0465d25,pt,76561198086134154,face,9,1978,76561198086134154,face,https://distribution.faceit-cdn.net/images/8b3863bc-c3c1-4d51-b06f-e60edd0ce660.jpg,https://www.faceit.com/{lang}/players/facedaking,2019-12-08T21:17:59.688Z,8,3190,1919,2127,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,facedaking
-deco-,-deco-,f53bb9a4-e09e-4985-b72e-88c567d932f8,br,76561197967624900,deco,7,1366,76561197967624900,deco,https://distribution.faceit-cdn.net/images/d729c1f7-4382-4ab5-9edc-1abea4483eb6.jpg,https://www.faceit.com/{lang}/players/-deco-,2016-08-12T17:56:45.427Z,8,1655,1366,1865,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,-deco-
_DaN_,_DaN_,22a2b582-3597-45f1-988c-a5377c6118f8,pt,76561198064141848,DaN,10,2112,76561198064141848,DaN,https://distribution.faceit-cdn.net/images/b46e0e57-d72f-4dae-904e-0601b44d4a85.jpeg,https://www.faceit.com/{lang}/players/_DaN_,2019-03-03T01:15:19.391Z,10,2635,2046,2282,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,_DaN_
BadDoug,BadDoug,4395a28c-0038-4f2e-bc1b-8f23be569312,br,76561198177753313,BadDoug,7,1469,76561198177753313,[BR] DoglasBastos,https://distribution.faceit-cdn.net/images/5fe9c868-8fb3-41ed-8ed9-630ce8e5de4f.jpg,https://www.faceit.com/{lang}/players/BadDoug,2017-08-20T13:30:29.638Z,7,1575,1469,1732,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,BadDoug
FenoNemo,FenoNemo,2f4758c9-f2b8-4cae-b5b1-3684a4e62e8d,br,76561198272954024,FenoNemo,10,2281,76561198272954024,FenoNemo,https://distribution.faceit-cdn.net/images/67e6a6db-13ec-4bc1-888e-f2f1ea7cbadb.jpg,https://www.faceit.com/{lang}/players/FenoNemo,2024-02-02T15:07:34.779Z,10,2027,2130,2506,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,FenoNemo
J_a_c_k__,J_a_c_k__,bb46c407-6741-46eb-8c6b-e72b63bee5b6,pt,76561198879204564,Jack,9,1964,76561198879204564,Jack,https://distribution.faceit-cdn.net/images/b836c3a3-a076-4650-b332-b145dd4a3f4a.jpg,https://www.faceit.com/{lang}/players/J_a_c_k__,2019-02-11T00:55:17.884Z,9,2338,1958,1989,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,J_a_c_k__
K4_k0,K4_k0,408fea6f-b4db-4917-a2d2-a084f0dc72bc,al,76561198076813519,K4_K0,8,1542,76561198076813519,P1nkyツ,https://distribution.faceit-cdn.net/images/1f85f796-f6d7-4451-8a03-e3aff85cdd28.jpg,https://www.faceit.com/{lang}/players/K4_k0,2020-04-09T15:53:56.154Z,8,1342,1542,2127,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,K4_k0
