faceit_nickname,faceit_player_id,match_id,game_id,finished_at,started_at,competition_name,match_type,game_mode,max_players,teams_size
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-fe173c42-70dc-489e-be34-6e7708c8e895,cs2,1778713465,1778710834,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-a98adeb6-5baa-4ef0-8638-84a1c81917d3,cs2,1778710610,1778708055,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-179267cb-7e85-4381-9250-edc62f678de6,cs2,1778707601,1778705157,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-18783843-7139-4ee6-85db-b9c2d78991ab,cs2,1778625680,1778622961,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-f9a7c2bc-6d96-419d-bd32-c7d1eb68980d,cs2,1778619524,1778616559,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-b2b45ba8-f9cc-4a50-93a4-aebab151f285,cs2,1778615721,1778611564,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-34abefbf-7b53-42ca-af3f-d5123e4715e4,cs2,1778539019,1778537205,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-131fbe1c-b024-4c07-a0e8-ecc35b6b81e8,cs2,1778536960,1778534261,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-956c9fa6-9c48-4710-8ff8-1be7a8bacfc7,cs2,1778533801,1778531866,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-55acffd6-c7e1-4e80-b18b-cfa97ea4d0d8,cs2,1778450812,1778448503,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-649abde1-ded9-4bf4-a995-93f62b351136,cs2,1778448302,1778445803,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-0c5d63d8-73b5-4b03-bf6e-bf7bcce0f836,cs2,1778444755,1778441185,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-2d8c7ad3-85a4-4907-b531-2040a4f07c61,cs2,1778440743,1778438033,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-4dad9e02-a492-4456-9f99-0e36563dcaab,cs2,1778374388,1778371036,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-d22b06eb-38f9-4d34-8585-187f682106af,cs2,1778370141,1778367872,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-aec36fb5-1dfc-43aa-9c43-3e29de078cd5,cs2,1778367169,1778364697,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-1df83763-312f-4716-bafe-c5a30597d147,cs2,1778364326,1778361453,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-a1c78cb3-91ca-40ba-bb35-7fe687983037,cs2,1778359523,1778355848,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-16c76641-77bd-469c-87e5-8f7234aa706a,cs2,1778355467,1778353627,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-c3fe1513-bff2-47fc-96b5-45266f5557bb,cs2,1778353428,1778351573,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-c28748e1-be91-4232-8089-04c29850e630,cs2,1778280427,1778278209,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-70782e0e-1918-4d6d-9efe-5e4b004240a4,cs2,1778192633,1778190240,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-3b3a57a1-e830-4c8f-9b3a-70a71b27c050,cs2,1778109453,1778107421,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-c870b813-2f40-4d48-8e77-b6ceb795f829,cs2,1778107098,1778104359,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-88019da2-22f9-46d3-a68f-c2bf4b4cbf00,cs2,1778020675,1778017966,Europe 5v5 Queue,,5v5,10,5
