faceit_nickname,faceit_player_id,country,steam_id_64,cs2_skill_level,cs2_faceit_elo,Average K/D Ratio,ADR,Average Headshots %,Win Rate %,Matches,Total Matches,Wins,Recent Results,Current Win Streak,Longest Win Streak,Average K/R Ratio,Entry Success Rate,Entry Rate,Total Entry Count,Total Entry Wins,Utility Damage per Round,Utility Success Rate,Utility Usage per Round,Flash Success Rate,Flashes per Round,Enemies Flashed per Round,Total Utility Damage,Total Enemies Flashed,Total Flash Successes,Total Flash Count,1v1 Win Rate,1v2 Win Rate,Total 1v1 Count,Total 1v1 Wins,Total 1v2 Count,Total 1v2 Wins,Sniper Kill Rate,Sniper Kill Rate per Round,Total Sniper Kills,Total Damage,Total Rounds with extended stats,Total Kills with extended stats,faceit_round_swing_avg,faceit_round_swing_avg_t,faceit_round_swing_avg_ct,faceit_rating,faceit_rating_t,faceit_rating_ct,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,avg_damage,avg_rws
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,br,76561197977881703,10,2313,1.08,77.65,41.35,50.0,116,116,58,1|1|0|0|0,0,8,0.7,0.4986,0.1435,361,181,5.13,0.314,0.4805,0.4774,0.5499,0.3822,13020,989,686,1405,0.3864,0.1765,88,34,85,15,0.0416,0.0308,79,195638,0,1757,0.0046,0.0033,0.0129,1.1463,1.1091,1.1551,1757,15.15,1747,15.06,573,4.94,1686.53,11.0225
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,lt,76561198042644945,9,1997,1.04,75.46,42.75,49.21,126,126,62,0|0|0|0|1,1,7,0.66,0.4924,0.1745,473,237,7.17,0.3892,0.6492,0.5133,0.7575,0.631,19234,1711,1052,2065,0.3382,0.1696,68,23,112,19,0.0024,0.0016,4,203282,0,1791,-0.0062,-0.0069,-0.0121,1.0829,1.0885,1.0967,1791,14.21,1833,14.55,695,5.52,1613.35,9.0635
pelogan,2ea9b956-14da-480d-bbfd-8ade5c3a1e3a,ie,76561198079227697,8,1645,1.07,76.31,39.41,62.96,27,27,17,1|1|0|0|1,1,6,0.71,0.4752,0.143,83,41,4.99,0.3985,0.3993,0.4726,0.4611,0.2915,2938,170,127,269,0.4667,0.1739,15,7,23,4,0.0104,0.0085,5,44388,0,409,0.0015,-0.0075,0.0115,1.1258,1.0811,1.169,409,15.15,400,14.81,130,4.81,1644.0,9.7935
facedaking,c1d4a1a6-7615-455c-99a1-5d57f0465d25,pt,76561198086134154,9,1978,1.08,72.42,42.31,49.59,123,123,61,0|1|0|0|0,0,10,0.67,0.5478,0.1985,525,272,5.16,0.3201,0.42,0.4459,0.3788,0.2261,13920,598,445,1006,0.375,0.2159,48,18,88,19,0.2246,0.1524,397,191285,0,1765,-0.0079,-0.0097,-0.0047,1.0714,1.0842,1.1239,1765,14.35,1854,15.07,583,4.74,1555.16,9.355
-deco-,f53bb9a4-e09e-4985-b72e-88c567d932f8,br,76561197967624900,7,1366,0.89,67.53,41.78,47.41,116,116,55,0|0|0|1|0,0,8,0.57,0.3772,0.1285,336,144,5.28,0.3316,0.4546,0.4709,0.6324,0.4386,13667,1142,778,1645,0.3611,0.1765,72,26,102,18,0.0351,0.0225,55,176772,0,1505,-0.0142,-0.0081,-0.0199,1.0371,1.1066,1.0723,1505,12.97,1800,15.52,623,5.37,1523.9,8.1123
_DaN_,22a2b582-3597-45f1-988c-a5377c6118f8,pt,76561198064141848,10,2112,0.0,0.0,0.0,0.0,0,0,0,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
BadDoug,4395a28c-0038-4f2e-bc1b-8f23be569312,br,76561198177753313,7,1469,1.03,74.32,45.82,40.91,22,22,9,1|0|0|0|1,1,3,0.69,0.465,0.1909,107,52,3.53,0.2768,0.255,0.4368,0.6268,0.4355,1951,244,153,346,0.24,0.25,25,6,20,5,0.1105,0.0859,51,40974,0,381,-0.0026,-0.004,-0.0019,1.1009,1.0984,1.1365,381,17.32,380,17.27,119,5.41,1862.45,9.2364
FenoNemo,2f4758c9-f2b8-4cae-b5b1-3684a4e62e8d,br,76561198272954024,10,2281,1.19,88.24,45.49,48.51,101,101,49,0|0|1|0|0,0,6,0.81,0.573,0.2697,606,344,5.52,0.3547,0.3988,0.4674,0.3848,0.2785,12716,634,431,872,0.3333,0.2462,54,18,65,16,0.1898,0.164,369,199123,0,1830,0.0065,0.005,0.012,1.1573,1.1451,1.1545,1830,18.12,1616,16.0,495,4.9,1971.51,10.5102
J_a_c_k__,bb46c407-6741-46eb-8c6b-e72b63bee5b6,pt,76561198879204564,9,1964,0.98,73.52,45.94,50.0,218,218,109,1|0|0|0|0,0,7,0.66,0.4781,0.1907,919,437,6.89,0.3848,0.5527,0.5137,0.4226,0.3175,33625,1536,1048,2065,0.3366,0.1417,101,34,127,18,0.1003,0.0693,331,355346,0,3185,-0.0143,-0.0072,-0.0217,1.0285,1.0981,1.0719,3185,14.61,3485,15.99,1158,5.31,1630.03,9.3386
K4_k0,408fea6f-b4db-4917-a2d2-a084f0dc72bc,al,76561198076813519,8,1542,0.0,0.0,0.0,0.0,0,0,0,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
Lag_404,c70b8e94-59b2-4533-abaa-41ad0c1b60f9,by,76561198307466059,10,2280,1.04,79.11,67.29,42.47,73,73,31,1|0|1|0|0,0,6,0.73,0.4612,0.1967,312,153,5.5,0.2893,0.523,0.4549,0.6529,0.4379,8657,701,470,1045,0.3143,0.1224,35,11,49,6,0.0089,0.0071,11,125399,0,1158,-0.0057,0.0004,-0.0066,1.0845,1.1027,1.0998,1158,15.86,1192,16.33,364,4.99,1717.79,8.6566
P3S4D3L8,f9a6f8ee-6868-4b18-9a57-dacb738f7588,ch,76561198031750305,8,1564,1.48,78.7,23.5,100.0,2,2,2,1|1,2,2,0.77,0.125,0.125,5,1,3.44,0.54,0.325,0.415,0.435,0.26,130,10,7,17,0.0,0.5,0,0,2,1,0.035,0.025,1,3054,0,30,0.0335,0.0467,0.0191,1.3172,1.3241,1.1277,30,15.0,22,11.0,9,4.5,1527.0,13.9254
Wagnerzera,691111ea-e36a-450b-928a-daafb3ff6ec1,ru,76561198952041434,6,1224,0.94,71.68,39.5,48.8,125,125,61,1|0|0|1|1,2,6,0.65,0.4426,0.1636,463,209,6.01,0.3922,0.4379,0.4674,0.4313,0.2786,17688,814,568,1240,0.4348,0.2941,69,30,85,25,0.0827,0.0546,157,204081,0,1852,-0.0104,-0.0097,-0.0097,1.0573,1.0934,1.0976,1852,14.82,2085,16.68,639,5.11,1632.65,9.4082
AshFxLL,dd19c0cd-5d7d-4961-9a8d-1b9fb0715b05,br,76561198349563796,9,1921,0.94,78.33,34.67,33.33,3,3,1,1|0|0,0,1,0.72,0.2233,0.2233,17,5,5.75,0.3267,0.49,0.51,0.8633,0.69,406,50,31,64,0.5,1.0,2,1,1,1,0.05,0.0433,4,5796,0,54,-0.0078,0.0283,-0.0419,1.0757,1.1405,1.0119,54,18.0,56,18.67,19,6.33,1932.0,9.9903
