faceit_nickname,role
JohnnyPanda,RIFLER
mHc,SUP
pelogan,LURKER
facedaking,AWPER
-deco-,RIFLER
_DaN_,AWPER
BadDoug,AWPER
FenoNemo,AWPER
J_a_c_k__,AWPER
K4_k0,RIFLER
Lag_404,LURKER
P3S4D3L8,RIFLER
Wagnerzera,RIFLER
AshFxLL,ENTRY
-Eragonz-,ENTRY
dudaaaaaaaaa,ENTRY
Humildera,LURKER
Jefao171,RIFLER
leoobr,LURKER
Lpz1NNNN,ENTRY
Nilove2Bala,AWPER
bomdecama,ENTRY
PretinQpisa,ENTRY
Kazu--,IGL
SPAN1SH,RIFLER
Tatuox,ENTRY
D4rl1ng,RIFLER
dLGxD,RIFLER
remix1990,RIFLER
sykesssssss,RIFLER
DigdiM--,AWPER
JoVi_,RIFLER
Mike7th,RIFLER
-Mazzoni,RIFLER
LaPesteBr,RIFLER
bnilgame,RIFLER
SALAZARR-,ENTRY
tuca89,RIFLER
BatmanRessac,AWPER
raphash0w,AWPER
w1ickd,AWPER
fbr,IGL
