Index,Match ID,Data,Hora,Mapa,Resultado,Placar,Kills,Deaths,Assists,K/D,K/R,Rating,HS%,ADR,Dano Total,Headshots,Total Rounds,ELO,ELO Delta,Regiao,Competicao,Game Mode
1,1-7f80f707-0b6a-4ef8-ac51-c731c6a7b8ba,20/05/2026,22:41,de_overpass,Vitória,4 / 13,13,11,4,1.18,0.76,1.48,54,83.6,1421,7,17,2104,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
2,1-a795cc9e-1f12-4496-8a3c-e962fce663f6,19/05/2026,23:03,de_inferno,Vitória,9 / 13,12,14,3,0.86,0.55,1.26,42,63.9,1406,5,22,2081,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
3,1-ae72ec0a-0569-49da-abfa-5d2a7c2fef20,19/05/2026,22:04,de_inferno,Vitória,13 / 8,10,14,3,0.71,0.48,0.93,20,52.6,1105,2,21,2058,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
4,1-cc11a08d-240f-4a46-9eaa-9bffab27a13e,19/05/2026,21:19,de_overpass,Vitória,10 / 13,15,19,7,0.79,0.65,0.94,13,69.3,1595,2,23,2035,23,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
5,1-13fdd138-abfa-4784-8633-3d475d9f3d3f,19/05/2026,20:25,de_anubis,Vitória,9 / 13,14,17,10,0.82,0.64,1.19,36,82.5,1814,5,22,2012,25,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
6,1-1f0e1ca4-f1ac-47f7-bfba-61fdfdf957de,19/05/2026,14:30,de_inferno,Vitória,13 / 9,20,17,8,1.18,0.91,1.31,25,87.4,1922,5,22,1987,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
7,1-664a438a-4a56-411a-a98a-5a80351ce9df,19/05/2026,00:34,de_inferno,Vitória,5 / 13,21,12,6,1.75,1.17,1.76,52,120.4,2167,11,18,1961,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
8,1-bf7f003a-aeb4-407d-bd5a-013018ea830f,18/05/2026,23:54,de_cache,Vitória,13 / 9,13,14,3,0.93,0.59,0.96,46,63.9,1405,6,22,1935,-24,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
9,1-1a706775-446b-4fe3-89d3-87487e44c705,18/05/2026,23:08,de_inferno,Vitória,13 / 10,30,12,2,2.5,1.3,1.53,53,117.7,2708,16,23,1959,28,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
10,1-356d9630-123e-4e47-bd5b-2ba5fd45b3b2,17/05/2026,23:09,de_inferno,Vitória,4 / 13,8,14,2,0.57,0.47,0.85,25,69.2,1176,2,17,1931,-28,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
11,1-c502a90d-f3da-4c9b-93e7-d1fb41fbd1fd,17/05/2026,22:35,de_overpass,Vitória,13 / 1,7,13,2,0.54,0.5,0.78,57,70.7,990,4,14,1959,-28,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
12,1-5ce4eb75-aab4-4dec-8e05-ec1a778ed6af,17/05/2026,21:59,de_overpass,Vitória,5 / 13,15,7,3,2.14,0.83,1.53,40,91.7,1651,6,18,1987,26,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
13,1-e8f0a9b4-6090-405b-b65b-0c4bccc4f230,17/05/2026,21:14,de_nuke,Vitória,13 / 11,23,12,5,1.92,0.96,1.46,57,94.3,2263,13,24,1961,29,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
14,1-6548a6e2-1783-4ba0-be7d-1d0d0c7c47ad,17/05/2026,20:24,de_inferno,Vitória,4 / 13,15,10,9,1.5,0.88,1.47,60,109.2,1857,9,17,1932,29,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
15,1-265e8ab7-65c3-44db-97c0-2b82c2d53dda,17/05/2026,14:22,de_inferno,Vitória,5 / 13,8,14,1,0.57,0.44,0.65,25,47.8,860,2,18,1903,-27,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
16,1-3d6f56df-34d9-4cdf-bef7-615e446df646,17/05/2026,00:14,de_anubis,Vitória,13 / 8,8,16,4,0.5,0.38,0.77,38,62.6,1314,3,21,1930,-28,EU,f4148ddd-bce8-41b8-9131-ee83afcdd6dd,5v5
